Id	Country	Total Data Requests	Total Users/Accounts Requested	Percent Requests Where Some Data Produced	Emergency Request Total	Emergency Request Total Accounts	Emergency Request Total Percentage	Search Warrant	Search Warrant Accounts	Search Warrant Percentage	Subpoena	Subpoena Accounts	Subpoena Percentage	Court Order (Other)	Court Order (Other) Accounts	Court Order (Other) Percentage	Court Order (18 USC 2703(d))	Court Order (18 USC 2703(d)) Accounts	Court Order (18 USC 2703(d)) Percentage	Pen Register/Trap and Trace	Pen Register/Trap and Trace Accounts	Pen Register/Trap and Trace Percentage	Title III	Title III Accounts	Title III Percentage
AFG	Afghanistan	1	5	0%																					
ALB	Albania	5	15	80.00%																					
ARG	Argentina	892	1,047	71.30%																					
ARM	Armenia	8	8	75.00%																					
AUS	Australia	802	846	73.57%																					
AUT	Austria	54	54	33.33%																					
AZE	Azerbaijan	4	4	0%																					
BGD	Bangladesh	12	31	16.67%																					
BLR	Belarus	1	1	0%																					
BEL	Belgium	290	375	77.24%																					
BIH	Bosnia and Herzegovina	5	7	40.00%																					
BRA	Brazil	1,655	2,673	41.27%																					
BRN	Brunei	1	1	0%																					
CAN	Canada	427	555	79.63%																					
CHL	Chile	285	375	70.53%																					
COL	Colombia	142	252	58.45%																					
HRV	Croatia	11	13	90.91%																					
CYP	Cyprus	10	12	10.00%																					
CZE	Czech Republic	17	18	41.18%																					
DNK	Denmark	17	40	41.18%																					
DOM	Dominican Republic	98	116	59.18%																					
ECU	Ecuador	33	49	72.73%																					
EGY	Egypt	4	10	25.00%																					
EST	Estonia	21	22	66.67%																					
FIN	Finland	39	69	71.79%																					
FRA	France	2,711	2,894	54.22%																					
GEO	Georgia	4	4	75.00%																					
DEU	Germany	3,140	3,628	42.26%																					
GRC	Greece	186	266	71.51%																					
GTM	Guatemala	4	14	75.00%																					
HKG	Hong Kong	113	176	61.95%																					
HUN	Hungary	178	224	42.13%																					
ISL	Iceland	2	2	50.00%																					
IND	India	5,561	7,018	50.87%																					
IDN	Indonesia	2	3	0%																					
IRQ	Iraq	1	1	0%																					
IRL	Ireland	56	55	69.64%																					
ISR	Israel	294	340	59.52%																					
ITA	Italy	1,525	2,598	52.52%																					
JPN	Japan	4	6	50.00%																					
JOR	Jordan	20	23	15.00%																					
KAZ	Kazakhstan	3	3	0%																					
OSA	Kosovo	16	32	37.50%																					
KWT	Kuwait	1	1	0%																					
LBN	Lebanon	7	13	71.43%																					
210	Liechtenstein	3	5	66.67%																					
LTU	Lithuania	33	36	42.42%																					
LUX	Luxembourg	2	2	50.00%																					
168	Macau	2	2	50.00%																					
MKD	Macedonia	19	40	73.68%																					
MYS	Malaysia	13	18	76.92%																					
174	Maldives	1	1	0%																					
173	Malta	151	168	72.19%																					
MEX	Mexico	411	722	69.83%																					
MDA	Moldova	1	0	0%																					
MNE	Montenegro	17	56	47.06%																					
MMR	Myanmar	0	0	0%																					
NPL	Nepal	1	1	0%																					
NLD	Netherlands	158	190	79.11%																					
NZL	New Zealand	167	204	59.28%																					
NGA	Nigeria	1	96	100.00%																					
NOR	Norway	29	44	48.28%																					
PAK	Pakistan	471	706	66.45%																					
PER	Peru	28	46	60.71%																					
PHL	Philippines	4	5	0%																					
POL	Poland	611	627	40.75%																					
PRT	Portugal	545	623	30.09%																					
QAT	Qatar	1	1	0%																					
ROU	Romania	11	18	9.09%																					
RUS	Russia	4	4	0%																					
193	Saint Vincent and the Grenadines	1	3	0%																					
SEN	Senegal	1	1	0%																					
SRB	Serbia	27	35	81.48%																					
SGP	Singapore	214	239	76.17%																					
SVN	Slovenia	5	3	20.00%																					
ZAF	South Africa	1	1	0%																					
KOR	South Korea	52	72	50.00%																					
ESP	Spain	536	947	44.96%																					
SDN	Sudan	5	6	0%																					
SWE	Sweden	260	400	87.31%																					
CHE	Switzerland	41	55	31.71%																					
TWN	Taiwan	333	537	62.16%																					
TZA	Tanzania	1	1	0%																					
THA	Thailand	3	3	0%																					
BHS	The Bahamas	1	0	0%																					
TUR	Turkey	443	503	84.20%																					
UKR	Ukraine	9	9	44.44%																					
ARE	United Arab Emirates	5	8	80.00%																					
GBR	United Kingdom	4,190	5,478	82.15%																					
USA	United States	19,235	30,041	81.41%	855	1,223	73.45%	11,128	17,703	85.38%	5,288	8,134	78.10%	314	383	69.43%	601	1,433	79.87%	964	1,045	78.01%	85	120	74.12%
VNM	Vietnam	1	2	0%																					
